"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-01","5.59",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"33",",,W","24",",,W",,,"  280",",,W","  300",",,W","14.1",",,W","23.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-02","12.30",",,W",,,"0.33",",,W,2400","3.1",",,W,","0.0",",,W,",,,"33",",,W","18",",,W",,,"   50",",,W","   50",",,W","21.0",",,W","28.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-03","10.51",",,W",,,"0.29",",,W,2400","3.3",",,W,","5.9",",,W,",,,"18",",,W","9",",,W",,,"  360",",,W","  310",",,W","21.0",",,W","29.1",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-04","4.92",",,W",,,"0.00",",,W,2400","0.0",",,W,","5.9",",,W,",,,"29",",,W","8",",,W",,,"  260",",,W","  240",",,W","8.9",",,W","19.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-05","3.80",",,W",,,"0.14",",,W,2400","0.0","T,,W,","3.9",",,W,",,,"40",",,W","27",",,W",,,"   70",",,W","  240",",,W","6.9",",,W","17.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-06","8.50",",,W",,,"0.36",",,W,2400","0.0",",,W,","1.2",",,W,",,,"55",",,W","19",",,W",,,"  290",",,W","  300",",,W","18.1",",,W","29.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-07","13.20",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"19",",,W","4",",,W",,,"  280",",,W","  270",",,W","23.0",",,W","38.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-08","7.16",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"22",",,W","9",",,W",,,"  290",",,W","  290",",,W","15.0",",,W","23.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-09","2.91",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"32",",,W","22",",,W",,,"  350",",,W","  320",",,W","12.1",",,W","16.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-10","3.36",",,W",,,"0.11",",,W,2400","0.0","T,,W,","0.0",",,W,",,,"37",",,W","30",",,W",,,"   50",",,W","  160",",,W","8.1",",,W","11.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-11","7.16",",,W",,,"0.50",",,W,2400","0.0",",,W,","0.0",",,W,",,,"58",",,W","37",",,W",,,"  180",",,W","  170",",,W","17.0",",,W","28.0",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-12","8.28",",,W",,,"0.05",",,W,2400","0.0",",,W,","0.0",",,W,",,,"54",",,W","38",",,W",,,"  290",",,W","  290",",,W","19.9",",,W","31.1",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-13","5.14",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"51",",,W","37",",,W",,,"  180",",,W","  170",",,W","14.1",",,W","23.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-14","4.92",",,W",,,"0.38",",,W,2400","0.0",",,W,","0.0",",,W,",,,"52",",,W","44",",,W",,,"  230",",,W","  250",",,W","13.0",",,W","21.9",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-15","2.91",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"47",",,W","39",",,W",,,"  160",",,W","  190",",,W","12.1",",,W","17.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-16","4.03",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"42",",,W","36",",,W",,,"   10",",,W","   50",",,W","10.1",",,W","14.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-17","3.58",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"44",",,W","33",",,W",,,"  170",",,W","  180",",,W","12.1",",,W","19.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-18","7.16",",,W",,,"0.07",",,W,2400","0.0","T,,W,","0.0",",,W,",,,"41",",,W","29",",,W",,,"  290",",,W","  300",",,W","15.0",",,W","25.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-19","7.38",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"38",",,W","24",",,W",,,"  260",",,W","  250",",,W","21.0",",,W","34.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-20","7.38",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,",,,"46",",,W","31",",,W",,,"  270",",,W","  280",",,W","17.0",",,W","30.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-21","10.51",",,W",,,"0.46",",,W,2400","11.0",",,W,","0.0",",,W,",,,"31",",,W","11",",,W",,,"   30",",,W","   40",",,W","19.9",",,W","30.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-22","8.72",",,W",,,"0.02",",,W,2400","0.5",",,W,","11.0",",,W,",,,"17",",,W","5",",,W",,,"  360",",,W","  350",",,W","21.9",",,W","30.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-23","7.16",",,W",,,"0.00",",,W,2400","0.0",",,W,","7.1",",,W,",,,"20",",,W","7",",,W",,,"  290",",,W","  280",",,W","16.1",",,W","25.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-24","8.05",",,W",,,"0.00",",,W,2400","0.0",",,W,","5.9",",,W,",,,"20",",,W","10",",,W",,,"  250",",,W","  240",",,W","17.0",",,W","30.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-25","7.61",",,W",,,"0.04",",,W,2400","1.0",",,W,","3.9",",,W,",,,"28",",,W","19",",,W",,,"  230",",,W","  240",",,W","17.0",",,W","30.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-26",,,,,"0.00",",,W,2400","0.0","T,,W,","3.9",",,W,",,,"34",",,W","17",",,W",,,"  280",",,W","  280",",,W","16.1",",,W","25.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-27","7.83",",,W",,,"0.00",",,W,2400","0.0",",,W,","3.1",",,W,",,,"44",",,W","21",",,W",,,"  300",",,W","  300",",,W","17.0",",,W","30.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-28","6.04",",,W",,,"0.00",",,W,2400","0.0",",,W,","1.2",",,W,",,,"21",",,W","12",",,W",,,"  310",",,W","  280",",,W","15.0",",,W","23.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-29","6.49",",,W",,,"0.04",",,W,2400","0.8",",,W,","2.0",",,W,",,,"23",",,W","14",",,W",,,"  260",",,W","  250",",,W","15.0",",,W","23.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-30","3.80",",,W",,,"0.00",",,W,2400","0.0",",,W,","1.0",",,Z,",,,"30",",,W","16",",,W",,,"  270",",,W","  270",",,W","8.9",",,W","16.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-01-31","4.92",",,W",,,"0.00",",,W,2400","0.0",",,W,","1.2",",,W,",,,"39",",,W","25",",,W",,,"  260",",,W","  260",",,W","14.1",",,W","21.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-02-01","3.58",",,W",,,"0.00",",,W,2400","0.0",",,W,","1.2",",,W,",,,"45",",,W","36",",,W",,,"  180",",,W","  190",",,W","13.0",",,W","19.0",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-02-02","3.13",",,W",,,"0.00","T,,W,2400","0.0",",,W,","1.2",",,W,",,,"56",",,W","39",",,W",,,"  360",",,W","  360",",,W","10.1",",,W","15.0",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-02-03","6.71",",,W",,,"1.17",",,W,2400","8.0",",,W,","1.2",",,W,",,,"43",",,W","27",",,W",,,"   20",",,W","   20",",,W","10.1",",,W","16.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-02-04","2.24",",,W",,,"0.00",",,W,2400","0.0",",,W,","7.9",",,W,",,,"35",",,W","22",",,W",,,"   60",",,W",,,"6.9",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-02-05","7.16",",,W",,,"1.43",",,W,2400","4.0",",,W,","9.1",",,W,",,,"34",",,W","29",",,W",,,"   60",",,W","   70",",,W","15.0",",,W","28.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-02-06","4.03",",,W",,,"0.00",",,W,2400","0.0",",,W,","9.1",",,W,",,,"32",",,W","21",",,W",,,"  310",",,W","  310",",,W","13.0",",,W","19.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-02-07","6.71",",,W",,,"0.00",",,W,2400","0.0",",,W,","9.1",",,W,",,,"32",",,W","24",",,W",,,"  280",",,W","  270",",,W","15.0",",,W","23.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-02-08","4.92",",,W",,,"0.00",",,W,2400","0.0",",,W,","9.1",",,W,",,,"29",",,W","21",",,W",,,"  280",",,W","  270",",,W","12.1",",,W","17.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-02-09","3.58",",,W",,,"0.10",",,W,2400","1.2",",,W,","7.9",",,W,",,,"31",",,W","21",",,W",,,"  270",",,W","  270",",,W","12.1",",,W","19.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-02-10","7.16",",,W",,,"0.00",",,W,2400","0.0",",,W,","9.8",",,W,",,,"29",",,W","21",",,W",,,"  310",",,W","  320",",,W","15.0",",,W","25.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-02-11","5.37",",,W",,,"0.00",",,W,2400","0.0",",,W,","9.8",",,W,",,,"26",",,W","16",",,W",,,"  280",",,W","  270",",,W","14.1",",,W","19.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-02-12","5.82",",,W",,,"0.00",",,W,2400","0.0",",,W,","9.8",",,W,",,,"25",",,W","13",",,W",,,"   60",",,W","   50",",,W","14.1",",,W","19.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-02-13","12.53",",,W",,,"1.78",",,W,2400","9.5",",,W,","11.8",",,W,",,,"36",",,W","24",",,W",,,"   60",",,W","   80",",,W","25.1",",,W","38.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-02-14","10.51",",,W",,,"0.30",",,W,2400","3.0",",,W,","18.1",",,W,",,,"40",",,W","31",",,W",,,"  290",",,W","  280",",,W","21.9",",,W","38.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-02-15","9.40",",,W",,,"0.13",",,W,2400","1.6",",,W,","18.1",",,W,",,,"37",",,W","27",",,W",,,"   60",",,W","  310",",,W","18.1",",,W","29.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-02-16","8.95",",,W",,,"0.00",",,W,2400","0.0",",,W,","18.1",",,W,",,,"30",",,W","21",",,W",,,"  310",",,W","  300",",,W","18.1",",,W","31.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-02-17","5.37",",,W",,,"0.00",",,W,2400","0.0",",,W,","16.9",",,W,",,,"32",",,W","18",",,W",,,"  310",",,W","  300",",,W","16.1",",,W","23.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2014-02-18","5.14",",,W",,,"0.16",",,W,2400","1.5",",,W,","18.1",",,W,",,,"39",",,W","26",",,W",,,"  280",",,W","  280",",,W","16.1",",,W","30.0",",,W",,,,,,,,,,,,
